PARTKEY,NAME,MFGR,BRAND,TYPE,SIZE,CONTAINER,RETAILPRICE,COMMENT
6916,azure snow rose sandy chartreuse,Manufacturer#3,Brand#33,MEDIUM PLATED STEEL,1,SM BAG,1822.91,usly unusua
4915,lace pink metallic indian medium,Manufacturer#5,Brand#55,LARGE PLATED TIN,1,WRAP DRUM,1819.91,ously blithely bold a
10908,dark purple royal spring steel,Manufacturer#2,Brand#21,SMALL BURNISHED STEEL,1,SM DRUM,1818.90,thely ironic packages
10903,black violet pale seashell bisque,Manufacturer#1,Brand#11,SMALL BRUSHED NICKEL,1,MED DRUM,1813.90,iously busy i
18892,steel white green chocolate burlywood,Manufacturer#3,Brand#35,PROMO PLATED NICKEL,1,LG BOX,1810.89,efully regular acc
14894,white coral blanched hot red,Manufacturer#4,Brand#44,MEDIUM PLATED NICKEL,1,JUMBO DRUM,1808.89,nstructions
8894,spring indian royal white bisque,Manufacturer#5,Brand#55,SMALL BURNISHED COPPER,1,MED JAR,1802.89,ts ar
11890,dark tan medium coral thistle,Manufacturer#1,Brand#12,LARGE BRUSHED NICKEL,1,WRAP CASE,1801.89,ronic dependen
4893,purple mint lace peru floral,Manufacturer#1,Brand#13,LARGE ANODIZED TIN,1,LG BOX,1797.89,ounts eat blithely. 
2892,tan thistle bisque cyan ghost,Manufacturer#1,Brand#12,SMALL PLATED TIN,1,WRAP CAN,1794.89,kages. reque
11883,dark maroon lavender frosted chocolate,Manufacturer#2,Brand#22,ECONOMY BURNISHED COPPER,1,MED CAN,1794.88,ions are furi
3889,forest green plum burlywood blush,Manufacturer#3,Brand#33,PROMO ANODIZED TIN,1,SM PACK,1792.88,unts. regular dugout
12880,black dark rosy honeydew olive,Manufacturer#4,Brand#44,ECONOMY POLISHED TIN,1,LG BOX,1792.88, express pac
12879,salmon thistle sandy burnished navy,Manufacturer#2,Brand#24,SMALL BURNISHED TIN,1,LG JAR,1791.87,ding, pending p
13877,spring purple pale floral goldenrod,Manufacturer#4,Brand#41,STANDARD PLATED TIN,1,JUMBO CASE,1790.87, against the theodolit
2887,dim plum sandy orchid coral,Manufacturer#3,Brand#31,LARGE BRUSHED STEEL,1,MED BOX,1789.88,. furiousl
12874,peru gainsboro navajo cyan almond,Manufacturer#5,Brand#53,MEDIUM BURNISHED COPPER,1,SM PACK,1786.87,jole slyl
3882,almond chiffon forest deep misty,Manufacturer#1,Brand#12,MEDIUM POLISHED STEEL,1,SM BAG,1785.88,sleep sly
15869,deep lawn mint green snow,Manufacturer#4,Brand#42,PROMO BRUSHED TIN,1,JUMBO CASE,1784.86, pending p
1882,smoke salmon red pale linen,Manufacturer#4,Brand#42,LARGE POLISHED NICKEL,1,JUMBO BAG,1783.88, foxes. ir
875,pale peru red orchid almond,Manufacturer#2,Brand#24,ECONOMY BRUSHED COPPER,1,MED DRUM,1775.87,e furiously. b
13861,lime lawn grey slate linen,Manufacturer#1,Brand#13,STANDARD ANODIZED NICKEL,1,JUMBO CAN,1774.86, carefully ir
11862,lemon snow linen thistle lime,Manufacturer#1,Brand#13,ECONOMY POLISHED COPPER,1,SM CAN,1773.86, slyly carefully i
3864,royal plum cyan smoke almond,Manufacturer#4,Brand#44,LARGE BURNISHED COPPER,1,JUMBO PACK,1767.86,final acc
7860,purple red sky black lace,Manufacturer#4,Brand#45,SMALL PLATED NICKEL,1,MED PACK,1767.86,y regular r
16851,peru grey ivory peach papaya,Manufacturer#1,Brand#15,PROMO BURNISHED COPPER,1,MED DRUM,1767.85,requests. fin
12854,metallic blush chartreuse red chocolate,Manufacturer#5,Brand#53,PROMO PLATED BRASS,1,WRAP PACK,1766.85,gular requests haggl
8853,bisque lime saddle brown cornsilk,Manufacturer#2,Brand#22,PROMO BRUSHED TIN,1,SM CASE,1761.85,s print furiously furi
3856,navy saddle misty indian maroon,Manufacturer#4,Brand#43,PROMO POLISHED BRASS,1,MED PKG,1759.85,ve quickly pending ac
12845,rose light metallic orchid peru,Manufacturer#3,Brand#33,ECONOMY BURNISHED NICKEL,1,JUMBO BOX,1757.84,, unusual requests 
7845,rose turquoise goldenrod indian burlywood,Manufacturer#3,Brand#32,ECONOMY PLATED STEEL,1,SM PACK,1752.84,permanen
15837,powder blanched gainsboro tomato burlywood,Manufacturer#3,Brand#34,STANDARD BURNISHED COPPER,1,SM CASE,1752.83,es. carefully final i
1850,plum forest olive orchid ivory,Manufacturer#5,Brand#51,SMALL BURNISHED COPPER,1,SM PKG,1751.85,nts haggl
13837,brown dark steel navajo slate,Manufacturer#3,Brand#32,ECONOMY BRUSHED STEEL,1,WRAP JAR,1750.83,encies. slowly ir
18831,sky salmon sandy dim firebrick,Manufacturer#4,Brand#44,LARGE ANODIZED STEEL,1,MED CASE,1749.83,ly among th
6842,lime medium coral bisque pale,Manufacturer#3,Brand#31,ECONOMY PLATED NICKEL,1,WRAP JAR,1748.84,kages alongside 
18829,slate orchid lace sandy red,Manufacturer#5,Brand#53,STANDARD BRUSHED NICKEL,1,MED JAR,1747.82,ckly bold theo
8835,dark moccasin frosted magenta indian,Manufacturer#4,Brand#42,SMALL ANODIZED NICKEL,1,MED CASE,1743.83,counts sleep
9824,goldenrod white honeydew lavender azure,Manufacturer#4,Brand#42,ECONOMY POLISHED COPPER,1,LG CAN,1733.82,lithely even reque
15814,purple burlywood sienna plum powder,Manufacturer#2,Brand#24,MEDIUM ANODIZED BRASS,1,SM PACK,1729.81, blithe
17811,green aquamarine coral blanched mint,Manufacturer#2,Brand#24,SMALL POLISHED TIN,1,MED DRUM,1728.81,gular, enticing ins
6820,light smoke orchid plum wheat,Manufacturer#1,Brand#11,STANDARD ANODIZED STEEL,1,SM PACK,1726.82,nal deposi
1824,lavender indian beige peru antique,Manufacturer#5,Brand#54,STANDARD PLATED BRASS,1,SM BAG,1725.82, unusual, 
8815,dark smoke maroon black burnished,Manufacturer#5,Brand#54,MEDIUM POLISHED COPPER,1,SM CASE,1723.81,fully final instructi
11812,lavender wheat drab navajo thistle,Manufacturer#4,Brand#45,ECONOMY BURNISHED TIN,1,LG JAR,1723.81,ves wake slyly alo
5815,misty lavender red thistle dodger,Manufacturer#4,Brand#44,PROMO POLISHED BRASS,1,SM DRUM,1720.81,ng theodolites. furi
2817,lawn tomato tan grey ivory,Manufacturer#4,Brand#42,MEDIUM POLISHED BRASS,1,SM BOX,1719.81,e final, express pack
3812,frosted purple slate salmon lemon,Manufacturer#4,Brand#41,MEDIUM ANODIZED NICKEL,1,WRAP CAN,1715.81,xpress depos
7808,khaki slate navajo thistle honeydew,Manufacturer#5,Brand#55,PROMO ANODIZED TIN,1,JUMBO JAR,1715.80,ly bold pinto beans d
12799,slate lime rosy wheat salmon,Manufacturer#2,Brand#22,MEDIUM BRUSHED TIN,1,LG BAG,1711.79,unts about the sl
5804,spring white seashell indian khaki,Manufacturer#1,Brand#15,SMALL BRUSHED COPPER,1,WRAP JAR,1709.80,cajole slyly furio
6799,seashell wheat hot almond rose,Manufacturer#3,Brand#32,MEDIUM BURNISHED NICKEL,1,SM DRUM,1705.79,requests wake f
3800,cream pink cornsilk royal dodger,Manufacturer#2,Brand#21,SMALL POLISHED NICKEL,1,SM BOX,1703.80,have to s
11791,papaya turquoise coral plum lemon,Manufacturer#1,Brand#14,STANDARD POLISHED BRASS,1,MED JAR,1702.79,ke quickly regular
14787,yellow hot moccasin wheat rosy,Manufacturer#2,Brand#22,ECONOMY ANODIZED COPPER,1,WRAP BOX,1701.78,ar foxes. silent, 
3793,thistle tomato lawn ivory almond,Manufacturer#3,Brand#34,SMALL BURNISHED NICKEL,1,MED DRUM,1696.79,l acco
12784,rosy medium forest mint burlywood,Manufacturer#1,Brand#13,MEDIUM ANODIZED TIN,1,SM DRUM,1696.78,g theodo
9786,steel magenta navy sky lace,Manufacturer#4,Brand#44,STANDARD PLATED STEEL,1,SM PACK,1695.78,unts s
4789,tomato light pale sienna grey,Manufacturer#1,Brand#15,ECONOMY BURNISHED NICKEL,1,WRAP JAR,1693.78,the furiously 
19772,lime drab aquamarine misty blanched,Manufacturer#5,Brand#53,MEDIUM PLATED STEEL,1,WRAP PACK,1691.77,ccounts about th
8782,midnight blanched orchid lace powder,Manufacturer#1,Brand#13,MEDIUM BRUSHED NICKEL,1,LG CAN,1690.78,re the furiously ironi
5782,hot sandy puff chiffon cyan,Manufacturer#3,Brand#34,STANDARD BRUSHED COPPER,1,LG CAN,1687.78,y bold 
3780,puff snow dim cyan goldenrod,Manufacturer#2,Brand#21,STANDARD BURNISHED STEEL,1,SM CASE,1683.78,heodolites haggle eve
2775,navajo smoke grey almond indian,Manufacturer#5,Brand#55,SMALL POLISHED STEEL,1,SM CAN,1677.77,ts. furiou
4773,cornflower violet firebrick thistle beige,Manufacturer#3,Brand#33,STANDARD ANODIZED STEEL,1,WRAP BOX,1677.77,equests boos
8767,light salmon yellow sienna lemon,Manufacturer#3,Brand#33,STANDARD ANODIZED NICKEL,1,WRAP DRUM,1675.76,ccounts 
13760,lawn hot dodger lemon ivory,Manufacturer#3,Brand#33,MEDIUM PLATED BRASS,1,JUMBO DRUM,1673.76,lar foxes. carefully p
11761,lace firebrick purple green olive,Manufacturer#2,Brand#24,MEDIUM POLISHED COPPER,1,WRAP JAR,1672.76,beans. sl
1767,seashell deep peru puff coral,Manufacturer#4,Brand#42,ECONOMY POLISHED TIN,1,WRAP BOX,1668.76,unts. care
3762,ivory deep blush linen drab,Manufacturer#1,Brand#12,ECONOMY BURNISHED COPPER,1,SM BOX,1665.76, deposits haggl
19745,tan green papaya orchid smoke,Manufacturer#4,Brand#41,STANDARD ANODIZED NICKEL,1,WRAP BOX,1664.74,accou
11750,sandy smoke indian light chartreuse,Manufacturer#4,Brand#42,STANDARD BRUSHED TIN,1,JUMBO DRUM,1661.75,ross the final package
10748,peru peach chiffon slate forest,Manufacturer#1,Brand#11,MEDIUM POLISHED NICKEL,1,JUMBO CASE,1658.74,kly. quic
12745,green lavender cornsilk dim aquamarine,Manufacturer#3,Brand#33,MEDIUM BRUSHED STEEL,1,LG CAN,1657.74,odolites haggle s
10745,floral ghost snow beige royal,Manufacturer#1,Brand#14,LARGE ANODIZED COPPER,1,SM PKG,1655.74,st the ironic 
752,medium blue midnight misty frosted,Manufacturer#5,Brand#53,MEDIUM ANODIZED COPPER,1,MED PACK,1652.75,lites mold b
8742,hot burlywood moccasin deep orange,Manufacturer#3,Brand#32,ECONOMY POLISHED COPPER,1,SM PACK,1650.74,old across 
7742,saddle bisque steel deep orange,Manufacturer#5,Brand#52,MEDIUM POLISHED COPPER,1,JUMBO CAN,1649.74,. unusual ideas 
13736,sienna slate deep peru white,Manufacturer#1,Brand#14,MEDIUM ANODIZED STEEL,1,SM BOX,1649.73,sts wak
10738,hot grey orchid yellow olive,Manufacturer#5,Brand#55,PROMO BRUSHED COPPER,1,SM PKG,1648.73,fily ironic pack
5738,forest navy drab navajo olive,Manufacturer#2,Brand#23,PROMO PLATED STEEL,1,SM CAN,1643.73,e careful
13728,lawn snow green blue sky,Manufacturer#2,Brand#25,LARGE BRUSHED BRASS,1,SM CASE,1641.72,instructions? fu
12727,turquoise lavender bisque lime olive,Manufacturer#2,Brand#21,PROMO BURNISHED STEEL,1,SM BAG,1639.72,uffy ex
7731,plum medium white coral lime,Manufacturer#3,Brand#34,SMALL BURNISHED COPPER,1,MED JAR,1638.73,luffily fin
10725,blanched cyan thistle sandy dodger,Manufacturer#2,Brand#21,STANDARD ANODIZED COPPER,1,JUMBO CAN,1635.72, pains. carefu
733,burnished goldenrod royal plum midnight,Manufacturer#4,Brand#43,PROMO ANODIZED STEEL,1,MED CASE,1633.73, special instruct
732,violet frosted red papaya drab,Manufacturer#2,Brand#21,MEDIUM BRUSHED BRASS,1,SM BAG,1632.73,. sauternes haggl
12715,chartreuse misty thistle floral metallic,Manufacturer#2,Brand#25,PROMO ANODIZED TIN,1,LG PACK,1627.71,final, final ideas.
14713,olive almond plum peach yellow,Manufacturer#2,Brand#25,PROMO ANODIZED TIN,1,WRAP PKG,1627.71,lyly ironic instru
7718,sky navy indian firebrick sienna,Manufacturer#1,Brand#12,SMALL BURNISHED STEEL,1,MED BAG,1625.71,od furiously. blithel
12713,papaya grey frosted floral rose,Manufacturer#3,Brand#31,SMALL BRUSHED TIN,1,SM BOX,1625.71,packages sleep qui
8714,snow pink tan honeydew khaki,Manufacturer#1,Brand#14,LARGE BURNISHED BRASS,1,WRAP JAR,1622.71,sublate slyly aft
1720,rosy white blush ghost aquamarine,Manufacturer#3,Brand#35,ECONOMY ANODIZED NICKEL,1,WRAP CASE,1621.72,d, silen
4713,linen firebrick maroon rose moccasin,Manufacturer#3,Brand#32,PROMO PLATED TIN,1,SM DRUM,1617.71,en packa
10704,seashell magenta lime forest antique,Manufacturer#1,Brand#12,SMALL PLATED STEEL,1,JUMBO JAR,1614.70,ges. ev
1712,olive snow saddle lawn linen,Manufacturer#2,Brand#25,LARGE POLISHED STEEL,1,JUMBO CASE,1613.71,s, ironic patterns
8705,violet deep thistle burlywood chocolate,Manufacturer#1,Brand#12,MEDIUM BRUSHED BRASS,1,MED PKG,1613.70,c instructions ser
10703,steel cyan dark saddle wheat,Manufacturer#5,Brand#53,MEDIUM ANODIZED NICKEL,1,JUMBO PACK,1613.70, pending requests wa
4707,tomato chocolate green seashell cream,Manufacturer#4,Brand#42,LARGE BURNISHED NICKEL,1,WRAP BOX,1611.70,fluffily i
6696,moccasin mint saddle gainsboro seashell,Manufacturer#2,Brand#24,SMALL PLATED STEEL,1,MED DRUM,1602.69,ithely stealt
3698,pale green burlywood lawn royal,Manufacturer#1,Brand#15,LARGE POLISHED BRASS,1,WRAP CASE,1601.69,egular theodolites boo
14685,royal burlywood seashell sky turquoise,Manufacturer#4,Brand#42,STANDARD BURNISHED TIN,1,MED JAR,1599.68,nments integrate
2696,brown lavender royal honeydew orchid,Manufacturer#2,Brand#23,SMALL POLISHED TIN,1,SM CAN,1598.69,te along the
15677,slate dark pink tomato misty,Manufacturer#3,Brand#31,ECONOMY BRUSHED NICKEL,1,JUMBO CAN,1592.67,ove t
19672,dim khaki lawn ghost orchid,Manufacturer#2,Brand#23,MEDIUM ANODIZED TIN,1,SM PKG,1591.67, asym
15674,khaki firebrick yellow snow blue,Manufacturer#1,Brand#13,ECONOMY POLISHED BRASS,1,WRAP BAG,1589.67,ding t
5682,linen misty ivory tan metallic,Manufacturer#4,Brand#42,MEDIUM BRUSHED STEEL,1,JUMBO DRUM,1587.68,against th
8676,tan light metallic smoke dim,Manufacturer#1,Brand#14,PROMO BRUSHED STEEL,1,JUMBO BAG,1584.67,ct ironic requests.
683,sienna cornsilk chiffon olive blush,Manufacturer#5,Brand#53,LARGE BURNISHED NICKEL,1,MED PACK,1583.68,its hag
16667,steel sandy chartreuse pink indian,Manufacturer#4,Brand#44,SMALL ANODIZED BRASS,1,WRAP PKG,1583.66,lly alo
19664,green grey orchid thistle moccasin,Manufacturer#4,Brand#42,SMALL PLATED COPPER,1,WRAP CASE,1583.66,posits. iron
13668,slate salmon dim wheat saddle,Manufacturer#4,Brand#41,ECONOMY ANODIZED BRASS,1,SM PACK,1581.66,thely un
12661,tomato honeydew red spring puff,Manufacturer#1,Brand#14,ECONOMY ANODIZED TIN,1,WRAP JAR,1573.66,unts. even re
5667,antique purple puff smoke peach,Manufacturer#2,Brand#21,MEDIUM BURNISHED COPPER,1,LG DRUM,1572.66,ly. quickl
9662,hot maroon forest brown puff,Manufacturer#3,Brand#34,SMALL BRUSHED STEEL,1,JUMBO JAR,1571.66,ges slee
16654,papaya cyan medium steel drab,Manufacturer#1,Brand#11,ECONOMY BRUSHED COPPER,1,MED CAN,1570.65,ctions boost. blith
5662,navajo papaya snow brown ghost,Manufacturer#4,Brand#44,MEDIUM ANODIZED TIN,1,JUMBO BOX,1567.66,ntegrate c
15647,metallic magenta saddle cornsilk peach,Manufacturer#5,Brand#55,PROMO PLATED COPPER,1,WRAP PACK,1562.64,e furiously ironic mul
12646,firebrick thistle burlywood metallic brown,Manufacturer#2,Brand#22,SMALL BRUSHED TIN,1,JUMBO PKG,1558.64,ross the slyly fin
16641,rosy seashell lace mint sienna,Manufacturer#3,Brand#31,STANDARD PLATED BRASS,1,WRAP PKG,1557.64,ole blithely fi
18638,magenta coral blanched grey dodger,Manufacturer#4,Brand#43,PROMO BRUSHED STEEL,1,WRAP BOX,1556.63,e carefully sly
3652,honeydew tomato steel metallic aquamarine,Manufacturer#5,Brand#53,MEDIUM BRUSHED COPPER,1,SM PKG,1555.65,oss the ev
13633,navy seashell antique honeydew lime,Manufacturer#4,Brand#42,PROMO BRUSHED TIN,1,LG JAR,1546.63, foxes aff
13626,blue peru thistle smoke royal,Manufacturer#3,Brand#34,STANDARD BRUSHED BRASS,1,SM PKG,1539.62, ironic accounts
5630,tomato azure plum smoke burlywood,Manufacturer#1,Brand#13,STANDARD BURNISHED COPPER,1,SM DRUM,1535.63,s. even, regular pac
17616,coral khaki cream medium ivory,Manufacturer#4,Brand#44,LARGE PLATED COPPER,1,LG BOX,1533.61,eas. regular
5620,medium navajo chiffon blanched misty,Manufacturer#4,Brand#44,PROMO ANODIZED BRASS,1,SM CAN,1525.62,gular ideas det
8614,brown maroon cream plum dark,Manufacturer#5,Brand#52,PROMO ANODIZED COPPER,1,MED CAN,1522.61,out the ruthlessly e
13609,peach pink midnight honeydew dark,Manufacturer#4,Brand#43,LARGE BURNISHED NICKEL,1,MED CASE,1522.60,osits are quickly 
5615,lace rose aquamarine midnight grey,Manufacturer#4,Brand#44,LARGE PLATED BRASS,1,SM CASE,1520.61,ss packages. ide
3615,almond aquamarine frosted tomato green,Manufacturer#5,Brand#55,LARGE BRUSHED BRASS,1,LG BAG,1518.61,sly carefully regular 
11607,rosy white thistle sandy rose,Manufacturer#5,Brand#51,STANDARD PLATED TIN,1,LG PKG,1518.60,l ideas
616,tan powder lavender dim goldenrod,Manufacturer#2,Brand#25,STANDARD BRUSHED STEEL,1,WRAP JAR,1516.61,w packages cajole b
1611,cornsilk turquoise blanched forest maroon,Manufacturer#5,Brand#51,LARGE BRUSHED BRASS,1,WRAP CASE,1512.61,tructions. furiously 
7604,peru slate peach burnished rose,Manufacturer#4,Brand#42,MEDIUM BRUSHED BRASS,1,LG CASE,1511.60,blithely idle, 
8600,thistle lavender saddle olive orchid,Manufacturer#2,Brand#25,PROMO ANODIZED TIN,1,WRAP PKG,1508.60,y regular
9597,light indian thistle brown dodger,Manufacturer#5,Brand#55,PROMO BURNISHED TIN,1,WRAP BOX,1506.59, ideas. pac
19586,tomato royal slate chocolate lace,Manufacturer#5,Brand#54,ECONOMY ANODIZED NICKEL,1,JUMBO PKG,1505.58,ccording to th
5596,smoke royal white navy almond,Manufacturer#2,Brand#25,SMALL BRUSHED TIN,1,WRAP PKG,1501.59,blithely s
7592,turquoise rose medium cream chiffon,Manufacturer#3,Brand#34,SMALL POLISHED BRASS,1,SM PACK,1499.59,olites. s
11588,goldenrod cream dim frosted cornsilk,Manufacturer#2,Brand#22,PROMO BRUSHED STEEL,1,LG CASE,1499.58,. slyly final asympto
1597,khaki lavender cornflower powder white,Manufacturer#5,Brand#55,SMALL ANODIZED BRASS,1,LG PKG,1498.59,efully pending 
10588,sienna red tan drab peach,Manufacturer#4,Brand#44,MEDIUM PLATED COPPER,1,LG PKG,1498.58,ss deposits. ev
3592,drab black navy peach gainsboro,Manufacturer#3,Brand#35,PROMO PLATED BRASS,1,SM CAN,1495.59,sts. slyly express acc
17578,medium khaki cream misty smoke,Manufacturer#3,Brand#35,SMALL BRUSHED COPPER,1,WRAP JAR,1495.57,bout the regular 
1593,rosy drab snow chocolate midnight,Manufacturer#4,Brand#44,ECONOMY ANODIZED COPPER,1,LG JAR,1494.59,s? instructions hagg
16576,rose blanched peach blush light,Manufacturer#5,Brand#52,STANDARD BURNISHED COPPER,1,LG PACK,1492.57,s sleep slyly aft
14577,brown spring puff navajo khaki,Manufacturer#2,Brand#24,MEDIUM ANODIZED TIN,1,LG DRUM,1491.57,blithely i
15576,khaki slate dodger firebrick orange,Manufacturer#1,Brand#12,MEDIUM POLISHED TIN,1,SM CASE,1491.57,ins. permanent, bold 
17570,medium thistle dim salmon white,Manufacturer#1,Brand#11,SMALL BRUSHED NICKEL,1,LG BOX,1487.57, blithely. f
9576,burnished tomato black coral hot,Manufacturer#3,Brand#32,LARGE ANODIZED STEEL,1,JUMBO PACK,1485.57,asymp
2582,white burnished green bisque gainsboro,Manufacturer#1,Brand#15,MEDIUM PLATED NICKEL,1,WRAP CASE,1484.58,ges wake bold
10574,ivory deep sandy wheat mint,Manufacturer#3,Brand#31,LARGE PLATED BRASS,1,LG PACK,1484.57,uriou
16564,spring slate seashell misty thistle,Manufacturer#2,Brand#24,STANDARD ANODIZED TIN,1,JUMBO CASE,1480.56,ly accordi
14563,midnight papaya misty yellow puff,Manufacturer#1,Brand#12,MEDIUM ANODIZED BRASS,1,LG JAR,1477.56,reful
13562,aquamarine blue violet rosy tan,Manufacturer#1,Brand#15,PROMO BURNISHED STEEL,1,WRAP JAR,1475.56,encies slee
15560,snow gainsboro violet tan sandy,Manufacturer#2,Brand#22,MEDIUM BURNISHED BRASS,1,SM CAN,1475.56, sauternes detect 
14560,steel midnight lemon blanched red,Manufacturer#1,Brand#11,PROMO PLATED STEEL,1,WRAP BOX,1474.56, the final deposits.
10563,azure blush olive tomato navy,Manufacturer#1,Brand#11,LARGE BRUSHED BRASS,1,MED PACK,1473.56,accounts lose fl
571,medium orchid purple metallic ghost,Manufacturer#2,Brand#22,LARGE PLATED TIN,1,WRAP CAN,1471.57,ly ironic
10561,chocolate khaki floral cream steel,Manufacturer#1,Brand#15,LARGE BURNISHED STEEL,1,LG BOX,1471.56,e carefully. q
1569,thistle cyan cream navy lavender,Manufacturer#1,Brand#13,PROMO BURNISHED TIN,1,LG PACK,1470.56,ts wake carefully. ca
7562,bisque navajo medium cornflower ivory,Manufacturer#1,Brand#14,STANDARD ANODIZED STEEL,1,LG BOX,1469.56,ages. pendi
2565,white olive navy purple saddle,Manufacturer#2,Brand#25,MEDIUM BURNISHED BRASS,1,JUMBO DRUM,1467.56,ously f
7559,grey goldenrod firebrick black ghost,Manufacturer#3,Brand#33,PROMO PLATED STEEL,1,WRAP PACK,1466.55,egular deposits wake q
1559,deep hot midnight aquamarine dark,Manufacturer#1,Brand#14,STANDARD ANODIZED TIN,1,MED BOX,1460.55,ar acc
18541,blush rosy orchid lime dodger,Manufacturer#1,Brand#15,MEDIUM PLATED COPPER,1,LG PKG,1459.54,ending, e
19538,lawn chocolate blue powder firebrick,Manufacturer#3,Brand#31,LARGE BURNISHED STEEL,1,LG DRUM,1457.53,he blith
9547,chiffon cream sandy steel cyan,Manufacturer#4,Brand#44,MEDIUM PLATED BRASS,1,JUMBO CASE,1456.54, the slyly express
553,gainsboro tomato lawn peru bisque,Manufacturer#2,Brand#23,SMALL POLISHED NICKEL,1,WRAP DRUM,1453.55,fily regular depen
552,lime violet puff snow chiffon,Manufacturer#4,Brand#44,LARGE POLISHED BRASS,1,JUMBO CAN,1452.55,longside of the sl
